pore width [A],V [cm^3/A/g]
8.741517750260613,0.06601421584988344
9.062307392472004,0.07812649448274923
9.383097034683395,0.08921780920700342
9.703886676894815,0.09873127958297344
10.185071140211901,0.10601721224778284
10.505865794761439,0.11065793091920684
10.826650424634684,0.11237499537740914
11.307829875613624,0.111075595599635
11.62862453016319,0.10685254160863915
12.109808993480279,0.10003068806209506
12.430598635691698,0.0910741053769205
12.911788111346931,0.08058606957770559
13.392967562325872,0.06930912320614528
13.874147013304812,0.0578465596895247
14.355331476621899,0.04694085920988163
14.83652095227716,0.03700972415348346
15.31770040325613,0.028563619071940924
15.959279687678912,0.021695356888458004
16.440469163334175,0.016544156262728208
17.082043435418782,0.012924401499915845
17.723622719841593,0.010696849286509403
18.365202004264376,0.00949026243193914
18.84639147991964,0.009026196365695092
19.64836057310997,0.008886963203755684
20.2899498822091,0.00884056471838894
21.09191396306126,0.00865493017063366
21.73349324748407,0.00814444821632786
22.53547737768887,0.007262718919880218
23.337441458541083,0.006195355075677295
24.13942057640771,0.005127992681698952
24.941399694274363,0.00429266187061802
25.90375859623224,0.003828588553251066
26.705737714098895,0.003874995739965297
27.668101628394922,0.004339061806209346
28.630470555029124,0.004988768221107065
29.753234302769023,0.005592058747943001
30.71560824174137,0.00591690615449352
31.838377001819445,0.005870507669126776
32.96114074955931,0.0054992414740653445
34.083899484961066,0.004895950947229408
35.367053041468516,0.004339061806209346
36.489821801546555,0.003921397125781203
37.933370179159674,0.0036893640926591456
39.21653877268159,0.0035501483334147784
40.66008213795656,0.0033181153002927537
42.10364054024602,0.0029004506198645787
43.54719393019731,0.002436367150925523
44.99075233248674,0.0021115197443750044
46.59470054354373,0.0021115197443750044
48.19864374226257,0.0025755916115174104
49.962981762087104,0.0022971513916811223
51.72732479424978,0.002993256291945586
53.49167283875064,0.003642964157067854
55.4164056796809,0.004246244532331689
57.341143532949246,0.0047103280012707775
59.426276207323376,0.005081576793637202
61.35101406059172,0.00526720844094332
63.59654656840969,0.00526720844094332
65.8420690515513,0.005081576793637202
68.08759654703111,0.004756726486637521
70.49351886361657,0.004246244532331689
73.05984602598409,0.003782179916312221
75.62615815133712,0.0033645137856594975
78.19247528902831,0.003039666379108946
80.91918724782519,0.0028540318313536655
83.8062890153896,0.0028076333459869547
86.69340581996849,0.0028076333459869547
89.7409074209768,0.0028540318313536655
92.94879883075262,0.002761217457925204
96.15669024052845,0.0025755916115174104
99.52498148374814,0.0023899686655587792
103.05367256041164,0.0022971513916811223
106.58235361239886,0.002157935632436755
110.43183433127382,0.0020187024704973475
114.2813100378106,0.001879486711252947
118.29118056545308,0.0017402709520085795
122.46144591420125,0.0016474536781309558
126.63170625061124,0.0016010377900692052
131.12277126624716,0.0015082292175390684
135.77421606597426,0.0013690047569471478
140.42567089037772,0.0011833702091918674
145.3979053323162,0.001090564537110893
150.53053459536045,0.0011369717238251236
155.8235636918485,0.001276187483069524
161.27698760944233,0.0014154119436614115
166.8908163728181,0.0014154119436614115
172.66502492028505,0.0013690047569471478
178.7600231099635,0.001276187483069524
185.01542614542387,0.0011833702091918674
191.59161381075754,0.0011369717238251236
198.32819629719688,0.0011833702091918674
205.22516859240383,0.0011833702091918674
212.44294556683658,0.0011369717238251236
219.82109731302245,0.001090564537110893
227.52005373843411,0.0011369717238251236
235.53979479371907,0.0012297889977027803
243.71993067010973,0.0012297889977027803
252.38125602215567,0.001090564537110893
261.0425713495252,0.0009513400765190054
270.3454709736558,0.0009513400765190054
279.80876541889205,0.0011833702091918674
289.59284449400155,0.0013690047569471478
299.6977232359987,0.0013690047569471478
310.12339162020737,0.0012297889977027803
321.0302344430567,0.0010441544499474999
332.2578669081175,0.000997755964580756
343.9666938611717,0.0010441544499474999
355.9963054440991,0.0012297889977027803
368.34670165689977,0.0014154119436614115
381.3386871787995,0.0013690047569471478
394.65147236758713,0.0013690047569471478
408.4454370073535,0.0012297889977027803
422.8809308081611,0.0007657055287636919
437.6372844239145,0.000162425153499857
452.87478240427953,2.319054133586845e-05
468.7538596690675,0.0010441544499474999
485.11414144652497,0.004246244532331689
502.1159824590528,0.006566603868043686
502.1159824590528,0.006566603868043686
