O1_50%,,O2_40%,,O4_40%,
X,Y,X,Y,X,Y
1.7662393951305844,0.009009009009008973,3.317796346900116,0.14450450450450453,3.6192223366136913,0.08396396396396394
2.0050458654684657,0.006846846846846777,3.712190136252801,0.08180180180180174,4.020208922632189,0.03927927927927921
2.2597059420343504,0.00540540540540535,4.24474968694477,0.04288288288288283,4.498100048308965,0.02702702702702703
2.5100668446888923,0.005045045045045049,4.9424442373463116,0.048288288288288295,5.162077822528438,0.04036036036036034
2.8391377702822216,0.00648648648648642,5.881293541296153,0.08108108108108103,6.098295955838615,0.05981981981981982
3.1651434006120174,0.010810810810810811,7.023886708726396,0.16288288288288283,7.4701287678675214,0.08864864864864863
3.567147002935375,0.06882882882882879,8.729539720237197,0.21225225225225225,9.15056012575042,0.13297297297297295
3.9767467128696303,0.08072072072072067,11.249697225286187,0.34234234234234234,11.087830480913981,0.17765765765765762
4.417344703140067,0.04864864864864865,15.474423444672288,0.38666666666666666,13.98152943537224,0.2126126126126126
5.0878030474304445,0.061261261261261246,21.285708952840874,0.04900900900900895,21.75351814188263,0.21945945945945944
5.902641679685214,0.0821621621621621,23.729852747771158,0.021261261261261266,23.729852747771158,0.2904504504504504
7.023886708726396,0.10954954954954954,26.840847430811287,0.011891891891891881,26.840847430811273,0.3207207207207207
8.603934368725461,0.15999999999999998,30.802903842156443,0.007567567567567546,31.026928748248462,0.30414414414414415
10.69327993698831,0.21657657657657656,36.25784980706877,0.005765765765765762,36.25784980706877,0.2843243243243243
15.196607835160899,0.26378378378378375,44.09349341783036,0.00432432432432428,44.414178791287895,0.2508108108108108
21.362972612143693,0.35783783783783785,55.80282380852188,0.0028828828828828534,55.199543212815676,0.2104504504504504
22.638034095214465,0.39603603603603604,77.03771329277976,0.00216216216216214,72.96253612111829,0.12144144144144142
23.902436412630745,0.3971171171171171,114.34623581079671,0.00216216216216214,104.0660823116643,0.050450450450450435
26.647047445839938,0.3513513513513513,150.05109938932182,0.015495495495495448,152.79424694480795,0.033873873873873805
30.802903842156443,0.2954954954954955,208.65726807450324,0.028108108108108043,230.93688969567387,0.03711711711711713
36.12671570857944,0.2533333333333333,,,,
44.25354562283111,0.1971171171171171,,,,
55.19954321281556,0.17765765765765762,,,,
77.03771329277976,0.08108108108108103,,,,
105.9685583379251,0.05081081081081079,,,,
130.75061644098355,0.04036036036036034,,,,
236.86901889185728,0.034594594594594574,,,,
